Type,Longueur,Valeur
LUXE_3D,160,-12.5
LUXE_3D,161,-12
LUXE_3D,162,-11.5
LUXE_3D,163,-11
LUXE_3D,164,-10.5
LUXE_3D,165,-10
LUXE_3D,166,-9.5
LUXE_3D,167,-9
LUXE_3D,168,-8.5
LUXE_3D,169,-8
LUXE_3D,170,-7.5
LUXE_3D,171,-7
LUXE_3D,172,-6.5
LUXE_3D,173,-6
LUXE_3D,174,-5.5
LUXE_3D,175,-5
LUXE_3D,176,-4.5
LUXE_3D,177,-4
LUXE_3D,178,-3.5
LUXE_3D,179,-3
LUXE_3D,180,-2.5
LUXE_3D,181,-2
LUXE_3D,182,-1.5
LUXE_3D,183,-1
LUXE_3D,184,-0.5
LUXE_3D,185,0
LUXE_3D,186,0.5
LUXE_3D,187,1
LUXE_3D,188,1.5
LUXE_3D,189,2
LUXE_3D,190,2.5
LUXE_3D,191,3
LUXE_3D,192,3.5
LUXE_3D,193,4
LUXE_3D,194,4.5
LUXE_3D,195,5
LUXE_3D,196,5.5
LUXE_3D,197,6
LUXE_3D,198,6.5
LUXE_3D,199,7
LUXE_3D,200,7.5
LUXE_3D,201,8
LUXE_3D,202,8.5
LUXE_3D,203,9
LUXE_3D,204,9.5
LUXE_3D,205,10
TENCEL,160,-9.5
TENCEL,161,-9
TENCEL,162,-8.5
TENCEL,163,-8
TENCEL,164,-7.5
TENCEL,165,-7
TENCEL,166,-6.5
TENCEL,167,-6
TENCEL,168,-5.5
TENCEL,169,-5
TENCEL,170,-4.5
TENCEL,171,-4
TENCEL,172,-3.5
TENCEL,173,-3
TENCEL,174,-2.5
TENCEL,175,-2
TENCEL,176,-1.5
TENCEL,177,-1
TENCEL,178,-0.5
TENCEL,179,0
TENCEL,180,0.5
TENCEL,181,1
TENCEL,182,1.5
TENCEL,183,2
TENCEL,184,2.5
TENCEL,185,3
TENCEL,186,3.5
TENCEL,187,4
TENCEL,188,4.5
TENCEL,189,5
TENCEL,190,5.5
TENCEL,191,6
TENCEL,192,6.5
TENCEL,193,7
TENCEL,194,7.5
TENCEL,195,8
TENCEL,196,8.5
TENCEL,197,9
TENCEL,198,9.5
TENCEL,199,10
TENCEL,200,10.5
TENCEL,201,11
TENCEL,202,11.5
TENCEL,203,12
TENCEL,204,12.5
TENCEL,205,13
POLY,160,176
POLY,161,177
POLY,162,178
POLY,163,179
POLY,164,180
POLY,165,181
POLY,166,182
POLY,167,183
POLY,168,184
POLY,169,185
POLY,170,186
POLY,171,187
POLY,172,188
POLY,173,189
POLY,174,190
POLY,175,191
POLY,176,192
POLY,177,193
POLY,178,194
POLY,179,195
POLY,180,196
POLY,181,197
POLY,182,198
POLY,183,199
POLY,184,200
POLY,185,201
POLY,186,202
POLY,187,203
POLY,188,204
POLY,189,205
POLY,190,206
POLY,191,207
POLY,192,208
POLY,193,209
POLY,194,210
POLY,195,211
POLY,196,212
POLY,197,213
POLY,198,214
POLY,199,215
POLY,200,216
POLY,201,217
POLY,202,218
POLY,203,219
POLY,204,220
POLY,205,221 